State,Year,Month,Period,Indicator,Data Value
LOUISIANA,2019,May,Monthly,Number of Live Births,4836
MAINE,2019,May,Monthly,Number of Live Births,1057
MARYLAND,2019,May,Monthly,Number of Live Births,5914
MASSACHUSETTS,2019,May,Monthly,Number of Live Births,5953
MICHIGAN,2019,May,Monthly,Number of Live Births,9404
MINNESOTA,2019,May,Monthly,Number of Live Births,5912
MISSISSIPPI,2019,May,Monthly,Number of Live Births,2898
MISSOURI,2019,May,Monthly,Number of Live Births,6184
MONTANA,2019,May,Monthly,Number of Live Births,1001
NEBRASKA,2019,May,Monthly,Number of Live Births,2203
NEVADA,2019,May,Monthly,Number of Live Births,2846
NEW HAMPSHIRE,2019,May,Monthly,Number of Live Births,1003
NEW JERSEY,2019,May,Monthly,Number of Live Births,8392
NEW MEXICO,2019,May,Monthly,Number of Live Births,1930
NEW YORK,2019,May,Monthly,Number of Live Births,18879
NORTH CAROLINA,2019,May,Monthly,Number of Live Births,9984
NORTH DAKOTA,2019,May,Monthly,Number of Live Births,942
OHIO,2019,May,Monthly,Number of Live Births,11363
OKLAHOMA,2019,May,Monthly,Number of Live Births,4142
OREGON,2019,May,Monthly,Number of Live Births,3581
PENNSYLVANIA,2019,May,Monthly,Number of Live Births,11294
RHODE ISLAND,2019,May,Monthly,Number of Live Births,895
SOUTH CAROLINA,2019,May,Monthly,Number of Live Births,4839
SOUTH DAKOTA,2019,May,Monthly,Number of Live Births,1022
TENNESSEE,2019,May,Monthly,Number of Live Births,6896
TEXAS,2019,May,Monthly,Number of Live Births,31432
UTAH,2019,May,Monthly,Number of Live Births,4181
VERMONT,2019,May,Monthly,Number of Live Births,468
VIRGINIA,2019,May,Monthly,Number of Live Births,8345
WASHINGTON,2019,May,Monthly,Number of Live Births,7526
WEST VIRGINIA,2019,May,Monthly,Number of Live Births,1604
WISCONSIN,2019,May,Monthly,Number of Live Births,5569
WYOMING,2019,May,Monthly,Number of Live Births,626
PUERTO RICO,2019,May,Monthly,Number of Live Births,1693
ALABAMA,2019,June,Monthly,Number of Live Births,4478
ALASKA,2019,June,Monthly,Number of Live Births,813
ARIZONA,2019,June,Monthly,Number of Live Births,6160
ARKANSAS,2019,June,Monthly,Number of Live Births,2853
CALIFORNIA,2019,June,Monthly,Number of Live Births,35621
COLORADO,2019,June,Monthly,Number of Live Births,5242
CONNECTICUT,2019,June,Monthly,Number of Live Births,2842
DELAWARE,2019,June,Monthly,Number of Live Births,855
DISTRICT OF COLUMBIA,2019,June,Monthly,Number of Live Births,754
FLORIDA,2019,June,Monthly,Number of Live Births,16993
GEORGIA,2019,June,Monthly,Number of Live Births,9866
HAWAII,2019,June,Monthly,Number of Live Births,1337
IDAHO,2019,June,Monthly,Number of Live Births,1972
ILLINOIS,2019,June,Monthly,Number of Live Births,11666
INDIANA,2019,June,Monthly,Number of Live Births,6540
IOWA,2019,June,Monthly,Number of Live Births,3145
KANSAS,2019,June,Monthly,Number of Live Births,2876
KENTUCKY,2019,June,Monthly,Number of Live Births,4187
LOUISIANA,2019,June,Monthly,Number of Live Births,4424
MAINE,2019,June,Monthly,Number of Live Births,1014
MARYLAND,2019,June,Monthly,Number of Live Births,5695
MASSACHUSETTS,2019,June,Monthly,Number of Live Births,5762
MICHIGAN,2019,June,Monthly,Number of Live Births,9241
MINNESOTA,2019,June,Monthly,Number of Live Births,5631
MISSISSIPPI,2019,June,Monthly,Number of Live Births,2793
MISSOURI,2019,June,Monthly,Number of Live Births,5855
MONTANA,2019,June,Monthly,Number of Live Births,963
NEBRASKA,2019,June,Monthly,Number of Live Births,2031
NEVADA,2019,June,Monthly,Number of Live Births,2881
NEW HAMPSHIRE,2019,June,Monthly,Number of Live Births,981
NEW JERSEY,2019,June,Monthly,Number of Live Births,8344
NEW MEXICO,2019,June,Monthly,Number of Live Births,1900
NEW YORK,2019,June,Monthly,Number of Live Births,18535
NORTH CAROLINA,2019,June,Monthly,Number of Live Births,9548
NORTH DAKOTA,2019,June,Monthly,Number of Live Births,883
OHIO,2019,June,Monthly,Number of Live Births,11144
OKLAHOMA,2019,June,Monthly,Number of Live Births,3889
OREGON,2019,June,Monthly,Number of Live Births,3649
PENNSYLVANIA,2019,June,Monthly,Number of Live Births,11044
RHODE ISLAND,2019,June,Monthly,Number of Live Births,869
SOUTH CAROLINA,2019,June,Monthly,Number of Live Births,4436
SOUTH DAKOTA,2019,June,Monthly,Number of Live Births,1031
TENNESSEE,2019,June,Monthly,Number of Live Births,6336
TEXAS,2019,June,Monthly,Number of Live Births,30128
UTAH,2019,June,Monthly,Number of Live Births,3992
VERMONT,2019,June,Monthly,Number of Live Births,509
VIRGINIA,2019,June,Monthly,Number of Live Births,7812
WASHINGTON,2019,June,Monthly,Number of Live Births,7229
WEST VIRGINIA,2019,June,Monthly,Number of Live Births,1433
WISCONSIN,2019,June,Monthly,Number of Live Births,5372
WYOMING,2019,June,Monthly,Number of Live Births,550
PUERTO RICO,2019,June,Monthly,Number of Live Births,1517
ALABAMA,2019,July,Monthly,Number of Live Births,5068
ALASKA,2019,July,Monthly,Number of Live Births,919
ARIZONA,2019,July,Monthly,Number of Live Births,6966
ARKANSAS,2019,July,Monthly,Number of Live Births,3271
CALIFORNIA,2019,July,Monthly,Number of Live Births,39221
COLORADO,2019,July,Monthly,Number of Live Births,5596
CONNECTICUT,2019,July,Monthly,Number of Live Births,3047
DELAWARE,2019,July,Monthly,Number of Live Births,912
DISTRICT OF COLUMBIA,2019,July,Monthly,Number of Live Births,803
FLORIDA,2019,July,Monthly,Number of Live Births,18720
GEORGIA,2019,July,Monthly,Number of Live Births,11027
HAWAII,2019,July,Monthly,Number of Live Births,1447
IDAHO,2019,July,Monthly,Number of Live Births,2061
ILLINOIS,2019,July,Monthly,Number of Live Births,12939
INDIANA,2019,July,Monthly,Number of Live Births,7190
IOWA,2019,July,Monthly,Number of Live Births,3449
KANSAS,2019,July,Monthly,Number of Live Births,3247
KENTUCKY,2019,July,Monthly,Number of Live Births,4841
LOUISIANA,2019,July,Monthly,Number of Live Births,5173
MAINE,2019,July,Monthly,Number of Live Births,1111
MARYLAND,2019,July,Monthly,Number of Live Births,6245
MASSACHUSETTS,2019,July,Monthly,Number of Live Births,6238
MICHIGAN,2019,July,Monthly,Number of Live Births,9788
MINNESOTA,2019,July,Monthly,Number of Live Births,6027
MISSISSIPPI,2019,July,Monthly,Number of Live Births,3380
MISSOURI,2019,July,Monthly,Number of Live Births,6399
MONTANA,2019,July,Monthly,Number of Live Births,1011
NEBRASKA,2019,July,Monthly,Number of Live Births,2191
NEVADA,2019,July,Monthly,Number of Live Births,3106
NEW HAMPSHIRE,2019,July,Monthly,Number of Live Births,1090
NEW JERSEY,2019,July,Monthly,Number of Live Births,8783
NEW MEXICO,2019,July,Monthly,Number of Live Births,2054
NEW YORK,2019,July,Monthly,Number of Live Births,19909
NORTH CAROLINA,2019,July,Monthly,Number of Live Births,10433
NORTH DAKOTA,2019,July,Monthly,Number of Live Births,989
OHIO,2019,July,Monthly,Number of Live Births,11985
OKLAHOMA,2019,July,Monthly,Number of Live Births,4321
OREGON,2019,July,Monthly,Number of Live Births,3727
PENNSYLVANIA,2019,July,Monthly,Number of Live Births,12100
RHODE ISLAND,2019,July,Monthly,Number of Live Births,886
SOUTH CAROLINA,2019,July,Monthly,Number of Live Births,5013
SOUTH DAKOTA,2019,July,Monthly,Number of Live Births,1012
TENNESSEE,2019,July,Monthly,Number of Live Births,7049
TEXAS,2019,July,Monthly,Number of Live Births,33685
UTAH,2019,July,Monthly,Number of Live Births,4421
VERMONT,2019,July,Monthly,Number of Live Births,493
VIRGINIA,2019,July,Monthly,Number of Live Births,8715
WASHINGTON,2019,July,Monthly,Number of Live Births,7754
WEST VIRGINIA,2019,July,Monthly,Number of Live Births,1658
WISCONSIN,2019,July,Monthly,Number of Live Births,5659
WYOMING,2019,July,Monthly,Number of Live Births,601
PUERTO RICO,2019,July,Monthly,Number of Live Births,1811
ALABAMA,2019,August,Monthly,Number of Live Births,5453
ALASKA,2019,August,Monthly,Number of Live Births,848
ARIZONA,2019,August,Monthly,Number of Live Births,7194
ARKANSAS,2019,August,Monthly,Number of Live Births,3262
CALIFORNIA,2019,August,Monthly,Number of Live Births,40281
COLORADO,2019,August,Monthly,Number of Live Births,5818
CONNECTICUT,2019,August,Monthly,Number of Live Births,3196
DELAWARE,2019,August,Monthly,Number of Live Births,990
DISTRICT OF COLUMBIA,2019,August,Monthly,Number of Live Births,791
FLORIDA,2019,August,Monthly,Number of Live Births,20009
GEORGIA,2019,August,Monthly,Number of Live Births,11726
HAWAII,2019,August,Monthly,Number of Live Births,1475
IDAHO,2019,August,Monthly,Number of Live Births,2025
ILLINOIS,2019,August,Monthly,Number of Live Births,12992
INDIANA,2019,August,Monthly,Number of Live Births,7497
IOWA,2019,August,Monthly,Number of Live Births,3414
KANSAS,2019,August,Monthly,Number of Live Births,3217
KENTUCKY,2019,August,Monthly,Number of Live Births,4931
LOUISIANA,2019,August,Monthly,Number of Live Births,5409
MAINE,2019,August,Monthly,Number of Live Births,1039
MARYLAND,2019,August,Monthly,Number of Live Births,6316
MASSACHUSETTS,2019,August,Monthly,Number of Live Births,6368
MICHIGAN,2019,August,Monthly,Number of Live Births,9771
MINNESOTA,2019,August,Monthly,Number of Live Births,5944
MISSISSIPPI,2019,August,Monthly,Number of Live Births,3347
MISSOURI,2019,August,Monthly,Number of Live Births,6682
MONTANA,2019,August,Monthly,Number of Live Births,988
NEBRASKA,2019,August,Monthly,Number of Live Births,2200
NEVADA,2019,August,Monthly,Number of Live Births,3305
NEW HAMPSHIRE,2019,August,Monthly,Number of Live Births,1067
NEW JERSEY,2019,August,Monthly,Number of Live Births,9055
NEW MEXICO,2019,August,Monthly,Number of Live Births,2121
NEW YORK,2019,August,Monthly,Number of Live Births,20078
NORTH CAROLINA,2019,August,Monthly,Number of Live Births,10914
NORTH DAKOTA,2019,August,Monthly,Number of Live Births,940
OHIO,2019,August,Monthly,Number of Live Births,12350
OKLAHOMA,2019,August,Monthly,Number of Live Births,4474
OREGON,2019,August,Monthly,Number of Live Births,3647
PENNSYLVANIA,2019,August,Monthly,Number of Live Births,12327
RHODE ISLAND,2019,August,Monthly,Number of Live Births,897
SOUTH CAROLINA,2019,August,Monthly,Number of Live Births,5331
SOUTH DAKOTA,2019,August,Monthly,Number of Live Births,1071
TENNESSEE,2019,August,Monthly,Number of Live Births,7346
TEXAS,2019,August,Monthly,Number of Live Births,34447
UTAH,2019,August,Monthly,Number of Live Births,4142
VERMONT,2019,August,Monthly,Number of Live Births,447
VIRGINIA,2019,August,Monthly,Number of Live Births,8917
WASHINGTON,2019,August,Monthly,Number of Live Births,7683
WEST VIRGINIA,2019,August,Monthly,Number of Live Births,1715
WISCONSIN,2019,August,Monthly,Number of Live Births,5765
WYOMING,2019,August,Monthly,Number of Live Births,576
PUERTO RICO,2019,August,Monthly,Number of Live Births,1710
ALABAMA,2019,September,Monthly,Number of Live Births,5226
ALASKA,2019,September,Monthly,Number of Live Births,873
ARIZONA,2019,September,Monthly,Number of Live Births,6877
ARKANSAS,2019,September,Monthly,Number of Live Births,3224
CALIFORNIA,2019,September,Monthly,Number of Live Births,38693
COLORADO,2019,September,Monthly,Number of Live Births,5473
CONNECTICUT,2019,September,Monthly,Number of Live Births,2845
DELAWARE,2019,September,Monthly,Number of Live Births,952
DISTRICT OF COLUMBIA,2019,September,Monthly,Number of Live Births,766
FLORIDA,2019,September,Monthly,Number of Live Births,19352
GEORGIA,2019,September,Monthly,Number of Live Births,10969
HAWAII,2019,September,Monthly,Number of Live Births,1441
IDAHO,2019,September,Monthly,Number of Live Births,1816
ILLINOIS,2019,September,Monthly,Number of Live Births,11752
INDIANA,2019,September,Monthly,Number of Live Births,7114
IOWA,2019,September,Monthly,Number of Live Births,3233
KANSAS,2019,September,Monthly,Number of Live Births,3105
KENTUCKY,2019,September,Monthly,Number of Live Births,4706
LOUISIANA,2019,September,Monthly,Number of Live Births,5309
MAINE,2019,September,Monthly,Number of Live Births,1020
MARYLAND,2019,September,Monthly,Number of Live Births,6074
MASSACHUSETTS,2019,September,Monthly,Number of Live Births,6013
MICHIGAN,2019,September,Monthly,Number of Live Births,9187
MINNESOTA,2019,September,Monthly,Number of Live Births,5592
MISSISSIPPI,2019,September,Monthly,Number of Live Births,3224
MISSOURI,2019,September,Monthly,Number of Live Births,6222
MONTANA,2019,September,Monthly,Number of Live Births,946
NEBRASKA,2019,September,Monthly,Number of Live Births,2149
NEVADA,2019,September,Monthly,Number of Live Births,3103
NEW HAMPSHIRE,2019,September,Monthly,Number of Live Births,1025
NEW JERSEY,2019,September,Monthly,Number of Live Births,8748
NEW MEXICO,2019,September,Monthly,Number of Live Births,2045
NEW YORK,2019,September,Monthly,Number of Live Births,19255
NORTH CAROLINA,2019,September,Monthly,Number of Live Births,10353
NORTH DAKOTA,2019,September,Monthly,Number of Live Births,850
OHIO,2019,September,Monthly,Number of Live Births,11656
OKLAHOMA,2019,September,Monthly,Number of Live Births,4292
OREGON,2019,September,Monthly,Number of Live Births,3465
PENNSYLVANIA,2019,September,Monthly,Number of Live Births,11745
RHODE ISLAND,2019,September,Monthly,Number of Live Births,921
SOUTH CAROLINA,2019,September,Monthly,Number of Live Births,4894
SOUTH DAKOTA,2019,September,Monthly,Number of Live Births,960
TENNESSEE,2019,September,Monthly,Number of Live Births,7086
TEXAS,2019,September,Monthly,Number of Live Births,33299
UTAH,2019,September,Monthly,Number of Live Births,3976
VERMONT,2019,September,Monthly,Number of Live Births,436
VIRGINIA,2019,September,Monthly,Number of Live Births,8759
WASHINGTON,2019,September,Monthly,Number of Live Births,7192
WEST VIRGINIA,2019,September,Monthly,Number of Live Births,1680
WISCONSIN,2019,September,Monthly,Number of Live Births,5420
WYOMING,2019,September,Monthly,Number of Live Births,561
PUERTO RICO,2019,September,Monthly,Number of Live Births,1791
ALABAMA,2019,October,Monthly,Number of Live Births,5209
ALASKA,2019,October,Monthly,Number of Live Births,804
ARIZONA,2019,October,Monthly,Number of Live Births,6844
ARKANSAS,2019,October,Monthly,Number of Live Births,3290
CALIFORNIA,2019,October,Monthly,Number of Live Births,39304
COLORADO,2019,October,Monthly,Number of Live Births,5489
CONNECTICUT,2019,October,Monthly,Number of Live Births,2953
DELAWARE,2019,October,Monthly,Number of Live Births,941
DISTRICT OF COLUMBIA,2019,October,Monthly,Number of Live Births,783
FLORIDA,2019,October,Monthly,Number of Live Births,19597
GEORGIA,2019,October,Monthly,Number of Live Births,10996
HAWAII,2019,October,Monthly,Number of Live Births,1415
IDAHO,2019,October,Monthly,Number of Live Births,1788
ILLINOIS,2019,October,Monthly,Number of Live Births,11858
INDIANA,2019,October,Monthly,Number of Live Births,6966
IOWA,2019,October,Monthly,Number of Live Births,3218
KANSAS,2019,October,Monthly,Number of Live Births,3064
KENTUCKY,2019,October,Monthly,Number of Live Births,4624
LOUISIANA,2019,October,Monthly,Number of Live Births,5385
MAINE,2019,October,Monthly,Number of Live Births,990
MARYLAND,2019,October,Monthly,Number of Live Births,6030
MASSACHUSETTS,2019,October,Monthly,Number of Live Births,6084
MICHIGAN,2019,October,Monthly,Number of Live Births,9000
MINNESOTA,2019,October,Monthly,Number of Live Births,5764
MISSISSIPPI,2019,October,Monthly,Number of Live Births,3257
MISSOURI,2019,October,Monthly,Number of Live Births,6286
MONTANA,2019,October,Monthly,Number of Live Births,914
NEBRASKA,2019,October,Monthly,Number of Live Births,2130
NEVADA,2019,October,Monthly,Number of Live Births,3052
NEW HAMPSHIRE,2019,October,Monthly,Number of Live Births,1086
NEW JERSEY,2019,October,Monthly,Number of Live Births,8554
NEW MEXICO,2019,October,Monthly,Number of Live Births,1977
NEW YORK,2019,October,Monthly,Number of Live Births,18822
NORTH CAROLINA,2019,October,Monthly,Number of Live Births,10160
NORTH DAKOTA,2019,October,Monthly,Number of Live Births,838
OHIO,2019,October,Monthly,Number of Live Births,11749
OKLAHOMA,2019,October,Monthly,Number of Live Births,4280
OREGON,2019,October,Monthly,Number of Live Births,3510
PENNSYLVANIA,2019,October,Monthly,Number of Live Births,11593
RHODE ISLAND,2019,October,Monthly,Number of Live Births,868
SOUTH CAROLINA,2019,October,Monthly,Number of Live Births,4962
SOUTH DAKOTA,2019,October,Monthly,Number of Live Births,986
TENNESSEE,2019,October,Monthly,Number of Live Births,7051
TEXAS,2019,October,Monthly,Number of Live Births,33510
UTAH,2019,October,Monthly,Number of Live Births,4078
VERMONT,2019,October,Monthly,Number of Live Births,440
VIRGINIA,2019,October,Monthly,Number of Live Births,8437
WASHINGTON,2019,October,Monthly,Number of Live Births,7015
WEST VIRGINIA,2019,October,Monthly,Number of Live Births,1537
WISCONSIN,2019,October,Monthly,Number of Live Births,5348
WYOMING,2019,October,Monthly,Number of Live Births,481
PUERTO RICO,2019,October,Monthly,Number of Live Births,1824
ALABAMA,2019,November,Monthly,Number of Live Births,4778
ALASKA,2019,November,Monthly,Number of Live Births,716
ARIZONA,2019,November,Monthly,Number of Live Births,6586
ARKANSAS,2019,November,Monthly,Number of Live Births,2898
CALIFORNIA,2019,November,Monthly,Number of Live Births,36057
COLORADO,2019,November,Monthly,Number of Live Births,4949
CONNECTICUT,2019,November,Monthly,Number of Live Births,2673
DELAWARE,2019,November,Monthly,Number of Live Births,840
DISTRICT OF COLUMBIA,2019,November,Monthly,Number of Live Births,710
FLORIDA,2019,November,Monthly,Number of Live Births,18133
GEORGIA,2019,November,Monthly,Number of Live Births,10126
HAWAII,2019,November,Monthly,Number of Live Births,1431
IDAHO,2019,November,Monthly,Number of Live Births,1754
ILLINOIS,2019,November,Monthly,Number of Live Births,10911
INDIANA,2019,November,Monthly,Number of Live Births,6355
IOWA,2019,November,Monthly,Number of Live Births,2923
KANSAS,2019,November,Monthly,Number of Live Births,2729
KENTUCKY,2019,November,Monthly,Number of Live Births,4197
LOUISIANA,2019,November,Monthly,Number of Live Births,4809
MAINE,2019,November,Monthly,Number of Live Births,924
MARYLAND,2019,November,Monthly,Number of Live Births,5502
MASSACHUSETTS,2019,November,Monthly,Number of Live Births,5495
MICHIGAN,2019,November,Monthly,Number of Live Births,8530
MINNESOTA,2019,November,Monthly,Number of Live Births,5122
MISSISSIPPI,2019,November,Monthly,Number of Live Births,2892
MISSOURI,2019,November,Monthly,Number of Live Births,5677
MONTANA,2019,November,Monthly,Number of Live Births,843
NEBRASKA,2019,November,Monthly,Number of Live Births,1951
NEVADA,2019,November,Monthly,Number of Live Births,2744
NEW HAMPSHIRE,2019,November,Monthly,Number of Live Births,914
NEW JERSEY,2019,November,Monthly,Number of Live Births,7937
NEW MEXICO,2019,November,Monthly,Number of Live Births,1885
NEW YORK,2019,November,Monthly,Number of Live Births,17739
NORTH CAROLINA,2019,November,Monthly,Number of Live Births,9423
NORTH DAKOTA,2019,November,Monthly,Number of Live Births,784
OHIO,2019,November,Monthly,Number of Live Births,10439
OKLAHOMA,2019,November,Monthly,Number of Live Births,3910
OREGON,2019,November,Monthly,Number of Live Births,3225
PENNSYLVANIA,2019,November,Monthly,Number of Live Births,10434
RHODE ISLAND,2019,November,Monthly,Number of Live Births,798
SOUTH CAROLINA,2019,November,Monthly,Number of Live Births,4502
SOUTH DAKOTA,2019,November,Monthly,Number of Live Births,867
TENNESSEE,2019,November,Monthly,Number of Live Births,6266
TEXAS,2019,November,Monthly,Number of Live Births,30514
UTAH,2019,November,Monthly,Number of Live Births,3548
VERMONT,2019,November,Monthly,Number of Live Births,398
VIRGINIA,2019,November,Monthly,Number of Live Births,7963
WASHINGTON,2019,November,Monthly,Number of Live Births,6506
WEST VIRGINIA,2019,November,Monthly,Number of Live Births,1432
WISCONSIN,2019,November,Monthly,Number of Live Births,4932
WYOMING,2019,November,Monthly,Number of Live Births,475
PUERTO RICO,2019,November,Monthly,Number of Live Births,1667
ALABAMA,2019,December,Monthly,Number of Live Births,5107
ALASKA,2019,December,Monthly,Number of Live Births,784
ARIZONA,2019,December,Monthly,Number of Live Births,6711
ARKANSAS,2019,December,Monthly,Number of Live Births,3182
CALIFORNIA,2019,December,Monthly,Number of Live Births,36518
COLORADO,2019,December,Monthly,Number of Live Births,5009
CONNECTICUT,2019,December,Monthly,Number of Live Births,2745
DELAWARE,2019,December,Monthly,Number of Live Births,949
DISTRICT OF COLUMBIA,2019,December,Monthly,Number of Live Births,767
FLORIDA,2019,December,Monthly,Number of Live Births,19012
GEORGIA,2019,December,Monthly,Number of Live Births,10703
HAWAII,2019,December,Monthly,Number of Live Births,1399
IDAHO,2019,December,Monthly,Number of Live Births,1737
ILLINOIS,2019,December,Monthly,Number of Live Births,11203
INDIANA,2019,December,Monthly,Number of Live Births,6611
IOWA,2019,December,Monthly,Number of Live Births,2978
KANSAS,2019,December,Monthly,Number of Live Births,2956
KENTUCKY,2019,December,Monthly,Number of Live Births,4316
LOUISIANA,2019,December,Monthly,Number of Live Births,5050
MAINE,2019,December,Monthly,Number of Live Births,904
MARYLAND,2019,December,Monthly,Number of Live Births,5847
MASSACHUSETTS,2019,December,Monthly,Number of Live Births,5416
MICHIGAN,2019,December,Monthly,Number of Live Births,8545
MINNESOTA,2019,December,Monthly,Number of Live Births,5109
MISSISSIPPI,2019,December,Monthly,Number of Live Births,3216
MISSOURI,2019,December,Monthly,Number of Live Births,5786
MONTANA,2019,December,Monthly,Number of Live Births,875
NEBRASKA,2019,December,Monthly,Number of Live Births,1954
NEVADA,2019,December,Monthly,Number of Live Births,2976
NEW HAMPSHIRE,2019,December,Monthly,Number of Live Births,934
NEW JERSEY,2019,December,Monthly,Number of Live Births,8068
NEW MEXICO,2019,December,Monthly,Number of Live Births,1806
NEW YORK,2019,December,Monthly,Number of Live Births,18158
NORTH CAROLINA,2019,December,Monthly,Number of Live Births,9949
NORTH DAKOTA,2019,December,Monthly,Number of Live Births,789
OHIO,2019,December,Monthly,Number of Live Births,10896
OKLAHOMA,2019,December,Monthly,Number of Live Births,4171
OREGON,2019,December,Monthly,Number of Live Births,3338
PENNSYLVANIA,2019,December,Monthly,Number of Live Births,10819
RHODE ISLAND,2019,December,Monthly,Number of Live Births,805
SOUTH CAROLINA,2019,December,Monthly,Number of Live Births,4806
SOUTH DAKOTA,2019,December,Monthly,Number of Live Births,943
TENNESSEE,2019,December,Monthly,Number of Live Births,6864
TEXAS,2019,December,Monthly,Number of Live Births,32373
UTAH,2019,December,Monthly,Number of Live Births,3565
VERMONT,2019,December,Monthly,Number of Live Births,418
VIRGINIA,2019,December,Monthly,Number of Live Births,8025
WASHINGTON,2019,December,Monthly,Number of Live Births,6652
WEST VIRGINIA,2019,December,Monthly,Number of Live Births,1536
WISCONSIN,2019,December,Monthly,Number of Live Births,4986
WYOMING,2019,December,Monthly,Number of Live Births,501
PUERTO RICO,2019,December,Monthly,Number of Live Births,1650
ALABAMA,2020,January,Monthly,Number of Live Births,4928
ALASKA,2020,January,Monthly,Number of Live Births,816
ARIZONA,2020,January,Monthly,Number of Live Births,6680
ARKANSAS,2020,January,Monthly,Number of Live Births,2991
CALIFORNIA,2020,January,Monthly,Number of Live Births,35894
COLORADO,2020,January,Monthly,Number of Live Births,4973
CONNECTICUT,2020,January,Monthly,Number of Live Births,2769
DELAWARE,2020,January,Monthly,Number of Live Births,827
DISTRICT OF COLUMBIA,2020,January,Monthly,Number of Live Births,742
FLORIDA,2020,January,Monthly,Number of Live Births,18228
GEORGIA,2020,January,Monthly,Number of Live Births,10680
HAWAII,2020,January,Monthly,Number of Live Births,1346
IDAHO,2020,January,Monthly,Number of Live Births,1694
ILLINOIS,2020,January,Monthly,Number of Live Births,11048
INDIANA,2020,January,Monthly,Number of Live Births,6569
IOWA,2020,January,Monthly,Number of Live Births,3068
KANSAS,2020,January,Monthly,Number of Live Births,2792
KENTUCKY,2020,January,Monthly,Number of Live Births,4321
LOUISIANA,2020,January,Monthly,Number of Live Births,5029
MAINE,2020,January,Monthly,Number of Live Births,876
MARYLAND,2020,January,Monthly,Number of Live Births,5876
MASSACHUSETTS,2020,January,Monthly,Number of Live Births,5477
MICHIGAN,2020,January,Monthly,Number of Live Births,8634
MINNESOTA,2020,January,Monthly,Number of Live Births,5044
MISSISSIPPI,2020,January,Monthly,Number of Live Births,3100
MISSOURI,2020,January,Monthly,Number of Live Births,5826
MONTANA,2020,January,Monthly,Number of Live Births,866
NEBRASKA,2020,January,Monthly,Number of Live Births,2036
NEVADA,2020,January,Monthly,Number of Live Births,2758
NEW HAMPSHIRE,2020,January,Monthly,Number of Live Births,930
NEW JERSEY,2020,January,Monthly,Number of Live Births,8099
NEW MEXICO,2020,January,Monthly,Number of Live Births,1797
NEW YORK,2020,January,Monthly,Number of Live Births,17980
NORTH CAROLINA,2020,January,Monthly,Number of Live Births,9770
NORTH DAKOTA,2020,January,Monthly,Number of Live Births,796
OHIO,2020,January,Monthly,Number of Live Births,10654
OKLAHOMA,2020,January,Monthly,Number of Live Births,4044
OREGON,2020,January,Monthly,Number of Live Births,3275
PENNSYLVANIA,2020,January,Monthly,Number of Live Births,10866
RHODE ISLAND,2020,January,Monthly,Number of Live Births,826
SOUTH CAROLINA,2020,January,Monthly,Number of Live Births,4693
SOUTH DAKOTA,2020,January,Monthly,Number of Live Births,922
TENNESSEE,2020,January,Monthly,Number of Live Births,6576
TEXAS,2020,January,Monthly,Number of Live Births,31516
UTAH,2020,January,Monthly,Number of Live Births,3706
VERMONT,2020,January,Monthly,Number of Live Births,418
VIRGINIA,2020,January,Monthly,Number of Live Births,7994
WASHINGTON,2020,January,Monthly,Number of Live Births,6808
WEST VIRGINIA,2020,January,Monthly,Number of Live Births,1502
WISCONSIN,2020,January,Monthly,Number of Live Births,4901
WYOMING,2020,January,Monthly,Number of Live Births,506
PUERTO RICO,2020,January,Monthly,Number of Live Births,1642
ALABAMA,2020,February,Monthly,Number of Live Births,4463
ALASKA,2020,February,Monthly,Number of Live Births,709
ARIZONA,2020,February,Monthly,Number of Live Births,6258
ARKANSAS,2020,February,Monthly,Number of Live Births,2768
CALIFORNIA,2020,February,Monthly,Number of Live Births,33152
COLORADO,2020,February,Monthly,Number of Live Births,4714
CONNECTICUT,2020,February,Monthly,Number of Live Births,2479
DELAWARE,2020,February,Monthly,Number of Live Births,783
DISTRICT OF COLUMBIA,2020,February,Monthly,Number of Live Births,652
FLORIDA,2020,February,Monthly,Number of Live Births,16740
GEORGIA,2020,February,Monthly,Number of Live Births,9488
HAWAII,2020,February,Monthly,Number of Live Births,1286
IDAHO,2020,February,Monthly,Number of Live Births,1625
ILLINOIS,2020,February,Monthly,Number of Live Births,10404
INDIANA,2020,February,Monthly,Number of Live Births,6228
IOWA,2020,February,Monthly,Number of Live Births,2844
KANSAS,2020,February,Monthly,Number of Live Births,2693
KENTUCKY,2020,February,Monthly,Number of Live Births,4059
LOUISIANA,2020,February,Monthly,Number of Live Births,4424
MAINE,2020,February,Monthly,Number of Live Births,845
MARYLAND,2020,February,Monthly,Number of Live Births,5281
MASSACHUSETTS,2020,February,Monthly,Number of Live Births,5205
MICHIGAN,2020,February,Monthly,Number of Live Births,8245
MINNESOTA,2020,February,Monthly,Number of Live Births,4924
MISSISSIPPI,2020,February,Monthly,Number of Live Births,2691
MISSOURI,2020,February,Monthly,Number of Live Births,5416
MONTANA,2020,February,Monthly,Number of Live Births,872
NEBRASKA,2020,February,Monthly,Number of Live Births,1802
NEVADA,2020,February,Monthly,Number of Live Births,2593
NEW HAMPSHIRE,2020,February,Monthly,Number of Live Births,858
NEW JERSEY,2020,February,Monthly,Number of Live Births,7488
NEW MEXICO,2020,February,Monthly,Number of Live Births,1652
NEW YORK,2020,February,Monthly,Number of Live Births,16719
NORTH CAROLINA,2020,February,Monthly,Number of Live Births,9089
